Subject,Set,Distance,Comparison
P35,SetC,0.8066843,Between
P36,SetC,0.7968682,Between
P37,SetC,0.8022229,Between
P38,SetC,0.7939018,Between
P39,SetC,0.7666665,Between
P40,SetC,0.7987785,Between
P41,SetC,0.7742059,Between
P42,SetC,0.7850376,Between
P43,SetC,0.7899013,Between
P01,SetB,0.4808324,Between
P02,SetB,0.4500008,Between
P03,SetB,0.440197,Between
P04,SetB,0.4389488,Between
P05,SetB,0.4346668,Between
P06,SetB,0.4584993,Between
P07,SetB,0.4604972,Between
P08,SetB,0.4169501,Between
P09,SetB,0.4306357,Between
P10,SetB,0.4198752,Between
P11,SetB,0.4266723,Between
P12,SetB,0.420325,Between
P13,SetB,0.4254236,Between
P14,SetB,0.4350174,Between
P15,SetB,0.4624616,Between
P16,SetB,0.4616003,Between
P17,SetB,0.4593984,Between
P18,SetB,0.4636025,Between
P19,SetB,0.4660044,Between
P20,SetB,0.454746,Between
P21,SetB,0.4516337,Between
P22,SetB,0.4292677,Between
P23,SetB,0.4418406,Between
P24,SetB,0.4373186,Between
P25,SetB,0.4342512,Between
P26,SetB,0.4321334,Between
P27,SetB,0.444391,Between
P28,SetB,0.4438255,Between
P29,SetB,0.4436313,Between
P30,SetB,0.4442512,Between
P31,SetB,0.4355972,Between
P32,SetB,0.4382965,Between
P34,SetB,0.4269271,Between
P35,SetB,0.4420244,Between
P36,SetB,0.4436074,Between
P37,SetB,0.4479847,Between
P38,SetB,0.4365973,Between
P39,SetB,0.4316715,Between
P40,SetB,0.4571215,Between
P41,SetB,0.4399505,Between
P42,SetB,0.4341143,Between
P43,SetB,0.4334501,Between
P01,Overall,0.4613221,Within
P02,Overall,0.4103372,Within
P03,Overall,0.4102299,Within
P04,Overall,0.3823996,Within
P05,Overall,0.3866106,Within
P06,Overall,0.4140182,Within
P07,Overall,0.4278652,Within
P08,Overall,0.4228574,Within
P09,Overall,0.4329856,Within
P10,Overall,0.4340195,Within
P11,Overall,0.4244608,Within
P12,Overall,0.3979606,Within
P13,Overall,0.4146769,Within
P14,Overall,0.4443769,Within
P15,Overall,0.4509371,Within
P16,Overall,0.3822076,Within
P17,Overall,0.4362122,Within
P18,Overall,0.4420319,Within
P19,Overall,0.3982697,Within
P20,Overall,0.4451449,Within
P21,Overall,0.4233609,Within
P22,Overall,0.5126074,Within
P23,Overall,0.5419517,Within
P24,Overall,0.5404444,Within
P25,Overall,0.5562803,Within
P26,Overall,0.507825,Within
P27,Overall,0.5038418,Within
P28,Overall,0.5366993,Within
P29,Overall,0.5404783,Within
P30,Overall,0.5330043,Within
P31,Overall,0.5317095,Within
P32,Overall,0.521246,Within
P34,Overall,0.5208544,Within
P35,Overall,0.5417654,Within
P36,Overall,0.5559781,Within
P37,Overall,0.5476502,Within
P38,Overall,0.5161379,Within
P39,Overall,0.4941694,Within
P40,Overall,0.5590442,Within
P41,Overall,0.4862293,Within
P42,Overall,0.5245729,Within
P43,Overall,0.4969673,Within
P01,Left,0.4551358,Within
P02,Left,0.4216964,Within
P03,Left,0.4253617,Within
P04,Left,0.3982812,Within
P05,Left,0.3674685,Within
P06,Left,0.4482608,Within
P07,Left,0.4814609,Within
P08,Left,0.4549124,Within
P09,Left,0.5018815,Within
P10,Left,0.4333774,Within
P11,Left,0.4573091,Within
P12,Left,0.4553043,Within
P13,Left,0.4421759,Within
P14,Left,0.4745379,Within
P15,Left,0.4875501,Within
P16,Left,0.4189301,Within
P17,Left,0.4509671,Within
P18,Left,0.4163255,Within
P19,Left,0.4065656,Within
P20,Left,0.4876456,Within
P21,Left,0.4240949,Within
P22,Left,0.449888,Within
P23,Left,0.4936483,Within
P24,Left,0.4866558,Within
P25,Left,0.4172894,Within
P26,Left,0.4014639,Within
P27,Left,0.4285924,Within
P28,Left,0.4694395,Within
P29,Left,0.4501236,Within
P30,Left,0.4921718,Within
P31,Left,0.4747795,Within
P32,Left,0.4912033,Within
P34,Left,0.4695809,Within
P35,Left,0.4860826,Within
P36,Left,0.5346977,Within
P37,Left,0.4787403,Within
P38,Left,0.4583144,Within
P39,Left,0.453488,Within
P40,Left,0.5769007,Within
P41,Left,0.4222084,Within
P42,Left,0.5000622,Within
P43,Left,0.4222084,Within
P01,Right,0.6201977,Within
P02,Right,0.5140772,Within
P03,Right,0.5012988,Within
P04,Right,0.4789084,Within
P05,Right,0.4774664,Within
P06,Right,0.5358668,Within
P07,Right,0.52682,Within
P08,Right,0.5452804,Within
P09,Right,0.4141809,Within
P10,Right,0.5584994,Within
P11,Right,0.5044584,Within
P12,Right,0.4514493,Within
P13,Right,0.51125,Within
P14,Right,0.5149929,Within
P15,Right,0.5414783,Within
P16,Right,0.4558546,Within
P17,Right,0.5204178,Within
P18,Right,0.5708925,Within
P19,Right,0.4449384,Within
P20,Right,0.5283127,Within
P21,Right,0.5625402,Within
P22,Right,0.6287914,Within
P23,Right,0.5992746,Within
P24,Right,0.5861825,Within
P25,Right,0.5030428,Within
P26,Right,0.6387331,Within
P27,Right,0.5648117,Within
P28,Right,0.6470809,Within
P29,Right,0.6415141,Within
P30,Right,0.5855876,Within
P31,Right,0.6329545,Within
P32,Right,0.5067353,Within
P34,Right,0.643369,Within
P35,Right,0.5949313,Within
P36,Right,0.6338341,Within
P37,Right,0.5748635,Within
P38,Right,0.6191607,Within
P39,Right,0.4909823,Within
P40,Right,0.5591093,Within
P41,Right,0.525057,Within
P42,Right,0.6263953,Within
P43,Right,0.528129,Within
P01,Scalp,0.3955235,Within
P02,Scalp,0.4073521,Within
P03,Scalp,0.4062451,Within
P04,Scalp,0.3958118,Within
P05,Scalp,0.4433454,Within
P06,Scalp,0.4136568,Within
P07,Scalp,0.3912945,Within
P08,Scalp,0.4491874,Within
P09,Scalp,0.3988143,Within
P10,Scalp,0.4382004,Within
P11,Scalp,0.4481909,Within
P12,Scalp,0.4303112,Within
P13,Scalp,0.4126164,Within
P14,Scalp,0.4556323,Within
P15,Scalp,0.4782917,Within
P16,Scalp,0.3937792,Within
P17,Scalp,0.4656714,Within
P18,Scalp,0.4721084,Within
P19,Scalp,0.4633121,Within
P20,Scalp,0.4737208,Within
P21,Scalp,0.4678633,Within
P22,Scalp,0.5291561,Within
P23,Scalp,0.5444562,Within
P24,Scalp,0.5420988,Within
P25,Scalp,0.4322565,Within
P26,Scalp,0.5029374,Within
P27,Scalp,0.471867,Within
P28,Scalp,0.5327184,Within
P29,Scalp,0.5425551,Within
P30,Scalp,0.538519,Within
P31,Scalp,0.4621691,Within
P32,Scalp,0.5455216,Within
P34,Scalp,0.5205629,Within
P35,Scalp,0.4828645,Within
P36,Scalp,0.4929794,Within
P37,Scalp,0.5309459,Within
P38,Scalp,0.4846477,Within
P39,Scalp,0.4982586,Within
P40,Scalp,0.5534542,Within
P41,Scalp,0.5207722,Within
P42,Scalp,0.50376,Within
P43,Scalp,0.5624573,Within
P01,SetA,0.6615385,Within
P02,SetA,0.632967,Within
P03,SetA,0.745873,Within
P04,SetA,0.7420635,Within
P05,SetA,0.7214815,Within
P06,SetA,0.8392593,Within
P07,SetA,0.7239899,Within
P08,SetA,0.7288767,Within
P09,SetA,0.5964155,Within
P10,SetA,0.6455433,Within
P11,SetA,0.5896651,Within
P12,SetA,0.5481685,Within
P13,SetA,0.567046,Within
P14,SetA,0.7063797,Within
P15,SetA,0.6334921,Within
P16,SetA,0.4450549,Within
P17,SetA,0.5303175,Within
P18,SetA,0.5778388,Within
P19,SetA,0.5721542,Within
P20,SetA,0.5456044,Within
P21,SetA,0.6439394,Within
P22,SetA,0.6717949,Within
P23,SetA,0.6516484,Within
P24,SetA,0.7436869,Within
P25,SetA,0.6009158,Within
P26,SetA,0.6019048,Within
P27,SetA,0.5427891,Within
P28,SetA,0.6126263,Within
P29,SetA,0.7134615,Within
P30,SetA,0.6666667,Within
P31,SetA,0.6861111,Within
P32,SetA,0.6895238,Within
P34,SetA,0.7382479,Within
P35,SetA,0.7824176,Within
P36,SetA,0.7349928,Within
P37,SetA,0.5878788,Within
P38,SetA,0.7207071,Within
P39,SetA,0.5405285,Within
P40,SetA,0.5809524,Within
P41,SetA,0.5989011,Within
P42,SetA,0.6505952,Within
P43,SetA,0.4666667,Within
P01,SetC,0.4215536,Within
P02,SetC,0.419602,Within
P03,SetC,0.4046139,Within
P04,SetC,0.3931482,Within
P05,SetC,0.3713574,Within
P06,SetC,0.3607641,Within
P07,SetC,0.424009,Within
P08,SetC,0.4898933,Within
P09,SetC,0.450925,Within
P10,SetC,0.4572089,Within
P11,SetC,0.4646885,Within
P12,SetC,0.3797203,Within
P13,SetC,0.4172034,Within
P14,SetC,0.4182558,Within
P15,SetC,0.6436492,Within
P16,SetC,0.5859327,Within
P17,SetC,0.6161422,Within
P18,SetC,0.6087923,Within
P19,SetC,0.6282143,Within
P20,SetC,0.6553919,Within
P21,SetC,0.6001733,Within
P22,SetC,0.6872391,Within
P23,SetC,0.7677279,Within
P24,SetC,0.7456358,Within
P25,SetC,0.4215132,Within
P26,SetC,0.7187778,Within
P27,SetC,0.6353635,Within
P28,SetC,0.7412383,Within
P29,SetC,0.7400309,Within
P30,SetC,0.7156752,Within
P31,SetC,0.72729,Within
P32,SetC,0.7456596,Within
P34,SetC,0.7295048,Within
P35,SetC,0.7681502,Within
P36,SetC,0.73588,Within
P37,SetC,0.7495025,Within
P38,SetC,0.736101,Within
P39,SetC,0.6189055,Within
P40,SetC,0.7590003,Within
P41,SetC,0.6788053,Within
P42,SetC,0.6840848,Within
P43,SetC,0.6934014,Within
P01,SetB,0.4614773,Within
P02,SetB,0.3583958,Within
P03,SetB,0.3662161,Within
P04,SetB,0.326844,Within
P05,SetB,0.3471949,Within
P06,SetB,0.3950047,Within
P07,SetB,0.3893019,Within
P08,SetB,0.336202,Within
P09,SetB,0.3856147,Within
P10,SetB,0.3690322,Within
P11,SetB,0.3712239,Within
P12,SetB,0.3604389,Within
P13,SetB,0.3894065,Within
P14,SetB,0.4002591,Within
P15,SetB,0.3319034,Within
P16,SetB,0.2674951,Within
P17,SetB,0.3359032,Within
P18,SetB,0.3295359,Within
P19,SetB,0.2605779,Within
P20,SetB,0.3152882,Within
P21,SetB,0.2879401,Within
P22,SetB,0.4169758,Within
P23,SetB,0.4300472,Within
P24,SetB,0.4270249,Within
P25,SetB,0.4366154,Within
P26,SetB,0.4058157,Within
P27,SetB,0.4353439,Within
P28,SetB,0.4355259,Within
P29,SetB,0.4286286,Within
P30,SetB,0.4228381,Within
P31,SetB,0.4287927,Within
P32,SetB,0.4115895,Within
P34,SetB,0.4052173,Within
P35,SetB,0.4286411,Within
P36,SetB,0.458061,Within
P37,SetB,0.4548498,Within
P38,SetB,0.4106487,Within
P39,SetB,0.4158158,Within
P40,SetB,0.4638772,Within
P41,SetB,0.3915467,Within
P42,SetB,0.4274511,Within
P43,SetB,0.4107866,Within
