ContigID,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species,Serotype,Isolate
MT774142.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,Deltapapillomavirus 5,Capreolus capreolus papillomavirus 1,Capreolus capreolus papillomavirus 1 strain 103-16
MT774141.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,Deltapapillomavirus 5,Capreolus capreolus papillomavirus 1,Capreolus capreolus papillomavirus 1 strain 63-15
MT774140.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,Deltapapillomavirus 5,Capreolus capreolus papillomavirus 1,Capreolus capreolus papillomavirus 1 strain 37-14
MT774139.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,Deltapapillomavirus 5,Capreolus capreolus papillomavirus 1,Capreolus capreolus papillomavirus 1 strain 32-16
MT774138.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Deltapapillomavirus,Deltapapillomavirus 5,Capreolus capreolus papillomavirus 1,Capreolus capreolus papillomavirus 1 strain 31-16
MT755964.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Epsilonpapillomavirus,Epsilonpapillomavirus 2,Cervus elaphus papillomavirus 1,Cervus elaphus papillomavirus 1 strain 64-14
MN788368.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 10,Human papillomavirus type 11,Human papillomavirus type 11 isolate JO-RRP10
LR862084.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 14,Human papillomavirus type 90,Human papillomavirus type 90 isolate LNS9893065_HPV90
LR862079.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS9504814_HPV53
LR862074.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS9308021_HPV53
LR862070.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS9024319_HPV53
LR862065.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 14,Human papillomavirus type 90,Human papillomavirus type 90 isolate LNS8911864_HPV90
LR862064.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 7,Human papillomavirus type 70,Human papillomavirus type 70 isolate LNS8911864_HPV70
LR862060.1,Virues,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Firstpapillomavirinae,Alphapapillomavirus,Alphapapillomavirus 6,Human papillomavirus type 53,Human papillomavirus type 53 isolate LNS8767674_HPV53
